Latitude,Longitude,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,PropertyGFABuilding(s)(%),ENERGYSTARScore,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ComplianceStatus,AgeBuilt,Source_principale,Source_secondaire,Source_tertiaire,TotalGHGEmissions
47.6101,-122.30838,26560.0,0.0,0.0,100.0,1.0,NonResidential,Worship Facility,98122.0,3,Central,1.0,2,Worship Facility,None,None,Compliant,115,NaturalGas(kBtu),Electricity(kBtu),None,64.88
47.65022,-122.34174,20140.0,0.0,0.0,100.0,49.0,NonResidential,Warehouse,98103.0,4,Lake Union,1.0,2,Non-Refrigerated Warehouse,None,None,Compliant,59,Electricity(kBtu),None,None,0.81
47.53846,-122.28305,38845.0,6000.0,0.0,100.0,82.0,NonResidential,Retail Store,98118.0,2,Greater Duwamish,1.0,2,Retail Store,Parking,None,Compliant,24,NaturalGas(kBtu),Electricity(kBtu),None,215.56
47.53747,-122.28308,25946.0,0.0,0.0,100.0,40.0,NonResidential,Supermarket / Grocery Store,98118.0,2,Greater Duwamish,1.0,1,Supermarket/Grocery Store,Parking,None,Compliant,63,Electricity(kBtu),NaturalGas(kBtu),None,173.75
47.55045,-122.32749,25500.0,0.0,0.0,100.0,98.0,NonResidential,Small- and Mid-Sized Office,98108.0,2,Greater Duwamish,1.0,1,Office,None,None,Compliant,49,NaturalGas(kBtu),Electricity(kBtu),None,55.3
47.5478,-122.32307,37524.0,2596.0,0.0,100.0,,NonResidential,Warehouse,98108.0,2,Greater Duwamish,1.0,1,Non-Refrigerated Warehouse,Office,None,Compliant,55,Electricity(kBtu),NaturalGas(kBtu),None,25.09
47.54912,-122.32184,56193.0,0.0,0.0,100.0,,NonResidential,Retail Store,98108.0,2,Greater Duwamish,1.0,2,Retail Store,None,None,Compliant,58,Electricity(kBtu),NaturalGas(kBtu),None,46.9
47.6712,-122.37568,35448.0,0.0,0.0,100.0,97.0,NonResidential,K-12 School,98107.0,6,Ballard,1.0,3,K-12 School,None,None,Compliant,94,NaturalGas(kBtu),Electricity(kBtu),None,60.34
47.66986,-122.37418,29214.0,0.0,0.0,100.0,8.0,NonResidential,Supermarket / Grocery Store,98107.0,6,Ballard,1.0,1,Supermarket/Grocery Store,None,None,Compliant,50,Electricity(kBtu),NaturalGas(kBtu),None,208.53
47.66828,-122.37428,47034.0,0.0,0.0,51.702,34.0,NonResidential,Supermarket / Grocery Store,98107.0,6,Ballard,1.0,1,Supermarket/Grocery Store,Parking,None,Compliant,16,Electricity(kBtu),NaturalGas(kBtu),None,384.85
47.66621,-122.37502,29880.0,4700.0,0.0,100.0,,NonResidential,Other,98125.0,6,Ballard,1.0,1,Other - Recreation,Office,None,Compliant,55,NaturalGas(kBtu),Electricity(kBtu),None,45.38
47.66389,-122.37307,14840.0,9400.0,6900.0,100.0,,NonResidential,Mixed Use Property,98107.0,6,Ballard,1.0,2,Other,Retail Store,Non-Refrigerated Warehouse,Compliant,106,NaturalGas(kBtu),Electricity(kBtu),None,38.86
47.6644,-122.37246,31932.0,9546.0,0.0,100.0,3.0,NonResidential,Warehouse,98107.0,6,Ballard,1.0,3,Non-Refrigerated Warehouse,Office,None,Compliant,41,Electricity(kBtu),NaturalGas(kBtu),None,78.22
47.66411,-122.37185,39840.0,0.0,0.0,100.0,2.0,NonResidential,Warehouse,98107.0,6,Ballard,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,36,Electricity(kBtu),None,None,5.24
47.66984,-122.3842,15000.0,3100.0,0.0,49.058,,Nonresidential COS,Other,98107.0,6,Ballard,1.0,1,Library,Other - Services,None,Compliant,12,Electricity(kBtu),NaturalGas(kBtu),None,38.52
47.66894,-122.38242,21528.0,0.0,0.0,100.0,,NonResidential,Other,98107.0,6,Ballard,1.0,2,Social/Meeting Hall,None,None,Compliant,92,Electricity(kBtu),NaturalGas(kBtu),None,6.61
47.66908,-122.38627,25828.0,0.0,0.0,100.0,,NonResidential,Other,98107.0,6,Ballard,1.0,2,Strip Mall,Parking,None,Compliant,88,Electricity(kBtu),NaturalGas(kBtu),None,13.14
47.67482,-122.37316,30554.0,0.0,0.0,100.0,,NonResidential,Other,98107.0,6,Ballard,1.0,2,Other,None,None,Compliant,74,Electricity(kBtu),None,None,36.77
47.66327,-122.37439,40445.0,0.0,0.0,100.0,92.0,NonResidential,Worship Facility,98107.0,6,Ballard,1.0,1,Worship Facility,None,None,Compliant,41,NaturalGas(kBtu),Electricity(kBtu),None,29.24
47.66318,-122.37283,23500.0,0.0,0.0,100.0,53.0,NonResidential,Retail Store,98107.0,6,Ballard,1.0,1,Retail Store,None,None,Compliant,20,Electricity(kBtu),NaturalGas(kBtu),None,13.29
47.67518,-122.36549,23067.0,0.0,0.0,100.0,82.0,NonResidential,Retail Store,98134.0,6,Ballard,1.0,1,Retail Store,None,None,Compliant,49,Electricity(kBtu),NaturalGas(kBtu),None,31.79
47.64909,-122.37788,25987.0,0.0,0.0,100.0,35.0,NonResidential,Supermarket / Grocery Store,98119.0,7,Magnolia / Queen Anne,1.0,1,Supermarket/Grocery Store,None,None,Compliant,55,Electricity(kBtu),NaturalGas(kBtu),None,237.54
47.65018,-122.37787,16766.0,9623.0,0.0,100.0,,NonResidential,Small- and Mid-Sized Office,98119.0,7,Magnolia / Queen Anne,1.0,3,Office,Fitness Center/Health Club/Gym,None,Compliant,24,Electricity(kBtu),None,None,8.42
47.65252,-122.37587,25859.0,4000.0,0.0,100.0,88.0,NonResidential,Small- and Mid-Sized Office,98119.0,7,Magnolia / Queen Anne,1.0,3,Office,Parking,None,Compliant,34,Electricity(kBtu),NaturalGas(kBtu),None,14.9
47.66238,-122.38831,20600.0,5000.0,0.0,100.0,1.0,NonResidential,Warehouse,98199.0,7,Magnolia / Queen Anne,1.0,1,Non-Refrigerated Warehouse,Office,None,Compliant,42,Electricity(kBtu),NaturalGas(kBtu),None,34.26
47.66126,-122.38751,10200.0,0.0,0.0,100.0,,NonResidential,Other,98199.0,7,Magnolia / Queen Anne,1.0,1,Manufacturing/Industrial Plant,None,None,Compliant,51,Electricity(kBtu),None,None,1.55
47.66106,-122.38576,33385.0,8399.0,0.0,79.899,89.0,NonResidential,Small- and Mid-Sized Office,98199.0,7,Magnolia / Queen Anne,1.0,4,Office,Parking,None,Compliant,8,Electricity(kBtu),None,None,9.03
47.66206,-122.38948,56884.0,0.0,0.0,100.0,71.0,NonResidential,Warehouse,98199.0,7,Magnolia / Queen Anne,1.0,1,Non-Refrigerated Warehouse,None,None,Compliant,56,Electricity(kBtu),NaturalGas(kBtu),None,37.49
47.6917,-122.37617,32810.0,0.0,0.0,100.0,66.0,NonResidential,Retail Store,98117.0,6,Ballard,1.0,1,Retail Store,None,None,Compliant,27,Electricity(kBtu),NaturalGas(kBtu),None,46.44
47.64455,-122.37581,30989.0,0.0,0.0,100.0,,NonResidential,Self-Storage Facility,98119.0,7,Magnolia / Queen Anne,1.0,3,Self-Storage Facility,None,None,Compliant,36,Electricity(kBtu),None,None,0.68
47.64418,-122.37587,39952.0,0.0,0.0,100.0,,NonResidential,Self-Storage Facility,98119.0,7,Magnolia / Queen Anne,1.0,3,Self-Storage Facility,None,None,Compliant,101,Electricity(kBtu),None,None,0.4
47.65504,-122.37402,20784.0,0.0,0.0,100.0,80.0,NonResidential,Small- and Mid-Sized Office,98119.0,7,Magnolia / Queen Anne,1.0,2,Office,None,None,Compliant,55,Electricity(kBtu),None,None,4.58
47.65563,-122.37194,18229.0,17200.0,0.0,100.0,89.0,NonResidential,Distribution Center,98119.0,7,Magnolia / Queen Anne,1.0,2,Distribution Center,Non-Refrigerated Warehouse,None,Compliant,56,Electricity(kBtu),NaturalGas(kBtu),None,14.81
47.66161,-122.39075,31845.0,4101.0,0.0,100.0,,NonResidential,Distribution Center,98199.0,7,Magnolia / Queen Anne,1.0,1,Distribution Center,Office,None,Compliant,48,Electricity(kBtu),NaturalGas(kBtu),None,11.08
47.66006,-122.38631,25184.0,4968.0,0.0,81.162,96.0,NonResidential,Small- and Mid-Sized Office,98199.0,7,Magnolia / Queen Anne,1.0,4,Office,Parking,None,Compliant,9,Electricity(kBtu),NaturalGas(kBtu),None,5.94
47.65881,-122.38382,21617.0,0.0,0.0,100.0,71.0,NonResidential,Small- and Mid-Sized Office,98199.0,7,Magnolia / Queen Anne,1.0,4,Office,None,None,Compliant,37,Electricity(kBtu),None,None,5.07
47.65801,-122.3839,30172.0,0.0,0.0,100.0,82.0,NonResidential,Small- and Mid-Sized Office,98199.0,7,Magnolia / Queen Anne,1.0,4,Office,None,None,Compliant,22,Electricity(kBtu),None,None,6.3
47.66353,-122.38064,42500.0,5091.0,0.0,100.0,100.0,NonResidential,Warehouse,98107.0,6,Ballard,1.0,4,Non-Refrigerated Warehouse,Retail Store,None,Compliant,89,Electricity(kBtu),None,None,1.68
47.66691,-122.38416,14448.0,5300.0,1460.0,100.0,,NonResidential,Small- and Mid-Sized Office,98107.0,6,Ballard,1.0,4,Office,Restaurant,Retail Store,Compliant,115,Electricity(kBtu),None,None,7.82
47.66646,-122.38263,42850.0,2900.0,0.0,89.259,,NonResidential,Other,98107.0,6,Ballard,1.0,3,Other,Parking,None,Compliant,116,NaturalGas(kBtu),Electricity(kBtu),None,303.81
47.66497,-122.38047,23500.0,0.0,0.0,100.0,26.0,NonResidential,Small- and Mid-Sized Office,98107.0,6,Ballard,1.0,2,Office,None,None,Compliant,48,Electricity(kBtu),NaturalGas(kBtu),None,34.52
47.66431,-122.37988,22282.0,0.0,0.0,100.0,93.0,NonResidential,Small- and Mid-Sized Office,98107.0,6,Ballard,1.0,1,Office,None,None,Compliant,50,Electricity(kBtu),NaturalGas(kBtu),None,16.67
47.66351,-122.37961,24000.0,0.0,0.0,100.0,,NonResidential,Self-Storage Facility,98107.0,6,Ballard,1.0,2,Self-Storage Facility,None,None,Compliant,114,NaturalGas(kBtu),Electricity(kBtu),None,17.39
