OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Verified_Coordinates,Coordinates_Match,Latitude_err,Longitude_err
130,2016,SPS-District K-12,K-12 School,McClure Middle,1915 1st Ave. W.,Seattle,WA,98119.0,1794501220,7,MAGNOLIA / QUEEN ANNE,47.63683,-122.35896,1964,1.0,2,93218,0,93218,K-12 School,K-12 School,93218.0,,,86.0,31.0,34.5,65.90000153,70.80000305,2887392.0,3216155.0,0.0,435743.8125,1486758.0,14006.33984,1400634.0,True,Error - Correct Default Data,84.75,0.91,"(47.63718, -122.35886)",False,0.00034999999999740794,9.99999999891088e-05
131,2016,NonResidential,Other,Lakeview,1208 NE 64th st,Seattle,WA,98115.0,1797500625,4,NORTHEAST,47.67524,-122.31534,1941,1.0,4,56521,0,56521,Other,Other,49000.0,,,,129.6999969,129.8999939,407.3999939,408.0,6357632.0,6367210.0,0.0,1863315.125,6357631.0,0.0,0.0,False,Compliant,44.32,0.78,"(47.67529, -122.31526)",False,4.99999999945544e-05,8.000000001118224e-05
132,2016,NonResidential,Other,Roosevelt Square,6417 Roosevelt Way NE # 18-28,Seattle,WA,98115.0,1797500715,4,NORTHEAST,47.67559,-122.31769,1929,1.0,2,206934,0,206934,"Other, Parking",Other,119146.0,Parking,0.0,,35.70000076,36.79999924,72.59999847,72.90000153,4253577.5,4384625.5,0.0,586489.8125,2001103.0,22524.74023,2252474.0,False,Compliant,133.58,0.65,,False,,
136,2016,NonResidential,Hotel,Holiday Inn Express North Seattle Shoreline,14115 Aurora Ave N,Seattle,WA,98133.0,1926049012,5,NORTHWEST,47.73141,-122.3458,2001,1.0,4,51390,0,51390,"Hotel, Parking",Hotel,51390.0,Parking,0.0,89.0,70.30000305,70.40000153,130.6999969,130.8999939,3611538.0,3616214.0,0.0,409815.0,1398289.0,22132.49023,2213249.0,False,Compliant,127.29,2.48,"(47.7314, -122.34578)",False,-9.999999996068709e-06,1.9999999992137418e-05
137,2016,SPS-District K-12,K-12 School,Broadview-Thomson K-8,13052 Greenwood Ave. N.,Seattle,WA,98133.0,1926049025,5,NORTHWEST,47.72463,-122.35315,1963,1.0,2,131013,0,131013,K-12 School,K-12 School,131909.0,,,88.0,29.5,32.5,59.09999847,62.90000153,3894584.5,4290831.5,0.0,520365.6875,1775488.0,21190.9668,2119097.0,True,Error - Correct Default Data,124.92,0.95,"(47.72463, -122.35333)",False,0.0,-0.00018000000000029104
138,2016,SPS-District K-12,K-12 School,Ingraham High,1819 N. 135th St.,Seattle,WA,98133.0,1926049321,5,NORTHWEST,47.7257,-122.33684,1959,1.0,1,245587,0,245587,K-12 School,K-12 School,245587.0,,,92.0,47.90000153,52.40000153,83.69999695,89.09999847,11765682.0,12870916.0,0.0,1150648.125,3926011.0,78396.69531,7839670.0,False,Compliant,443.73,1.81,"(47.72592, -122.33824)",False,0.00021999999999877673,-0.0014000000000038426
139,2016,NonResidential,Hotel,7066-Seattle-Northgate,13300 Stone Avenue N,Seattle,WA,98133.0,1926049434,5,NORTHWEST,47.72551,-122.3423,2002,1.0,3,69138,0,69138,Hotel,Hotel,70609.0,,,78.0,45.90000153,47.09999847,101.5999985,104.6999969,3242458.0,3323400.5,0.0,528396.6875,1802889.0,14395.68164,1439568.0,False,Compliant,89.02,1.29,"(47.72531, -122.3411)",False,-0.00019999999999953388,0.0011999999999972033
140,2016,SPS-District K-12,K-12 School,B.F. Day Elementary,3921 Linden Ave. N.,Seattle,WA,98103.0,1931301145,6,LAKE UNION,47.65464,-122.34912,1991,1.0,3,66588,0,66588,K-12 School,K-12 School,66588.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616730.8125,2104286.0,0.0,0.0,False,Missing Data,14.67,0.22,"(47.65516, -122.34915)",False,0.0005200000000016303,-2.9999999995311555e-05
144,2016,NonResidential,Hotel,Alexis Hotel,1007 First Ave.,Seattle,WA,98104.0,1974600035,7,DOWNTOWN,47.6048,-122.3368,1904,1.0,5,190980,0,190980,"Hotel, Parking",Hotel,190980.0,Parking,19051.0,98.0,34.09999847,34.09999847,84.0,84.0,6505995.0,6505995.0,0.0,1290419.25,4402910.0,21030.83984,2103084.0,False,Compliant,142.39,0.75,"(47.68009, -122.37893)",False,0.07529000000000252,-0.04213000000000022
145,2016,Nonresidential COS,Other,Benaroya Hall,200 University Street,Seattle,WA,98111.0,1974700025,7,DOWNTOWN,47.60804,-122.3367,1998,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,189750.0,,,,77.19999695,78.40000153,192.5,192.0,14641502.0,14881950.0,4311136.0,2873101.25,9803021.0,5273.430176,527343.0,False,Compliant,429.12,1.51,"(47.60812, -122.33697)",False,7.999999999697138e-05,-0.00027000000000043656
